"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf.";
1;"P1";"Hirose_DF13C-15P-1.25V_15x1.25mm_Straight";1;"CONN_01X15";;;
2;"J1";"FCI_10029449-11[13]RLF";1;"HDMI_A";;;
